GALLIFORMES: Odontophoridae

Lapland Longspur	Calcarius lapponicus	铁爪鹀	Rare
 
PASSERIFORMES: Passerellidae

Lark Bunting	Calamospiza melanocorys	白斑黑鹀	Rare
Red Fox Sparrow	Passerella iliaca	狐色带鹀	
Sooty Fox Sparrow	Passerella unalaschcensis	烟黑狐色雀鹀	
Slate-colored Fox Sparrow	Passerella schistacea	铅灰狐色雀鹀	
Thick-billed Fox Sparrow	Passerella megarhyncha	厚嘴狐色雀鹀	
Song Sparrow	Melospiza melodia	歌带鹀	
Lincoln's Sparrow	Melospiza lincolnii	林氏带鹀	
Swamp Sparrow	Melospiza georgiana	沼泽带鹀	Rare
Harris's Sparrow	Zonotrichia querula	赫氏带鹀	Rare
White-crowned Sparrow	Zonotrichia leucophrys	白冠带鹀	
White-throated Sparrow	Zonotrichia albicollis	白喉带鹀	Rare
Golden-crowned Sparrow	Zonotrichia atricapilla	金冠带鹀	
Dark-eyed Junco	Junco hyemalis	暗眼灯草鹀	
Savannah Sparrow	Passerculus sandwichensis	稀树草鹀	
Nelson's Sparrow	Ammodramus nelsoni	纳氏沙鹀	Rare
Grasshopper Sparrow	Ammodramus savannarum	黄胸草鹀	
American Tree Sparrow	Spizelloides arborea	美洲树雀鹀	Rare
Chipping Sparrow	Spizella passerina	棕顶雀鹀	
Black-chinned Sparrow	Spizella atrogularis	黑颏雀鹀	Rare
Clay-colored Sparrow	Spizella pallida	褐雀鹀	
Brewer's Sparrow	Spizella breweri	布氏雀鹀	
Vesper Sparrow	Pooecetes gramineus	栗肩雀鹀	
Lark Sparrow	Chondestes grammacus	鹨雀鹀	
Black-throated Sparrow	Amphispiza bilineata	黑喉漠鹀	
Sagebrush Sparrow	Artemisiospiza nevadensis	艾草漠鹀	
Bell's Sparrow	Artemisiospiza belli	贝氏漠鹀	
Cassin's Sparrow	Peucaea cassinii	卡氏猛雀鹀	Rare
Rufous-crowned Sparrow	Aimophila ruficeps	棕顶猛雀鹀	
Green-tailed Towhee	Pipilo chlorurus	绿尾唧鹀	
Spotted Towhee	Pipilo maculatus	斑唧鹀	
 
PASSERIFORMES: Icteriidae

Yellow-breasted Chat	Icteria virens	黄胸大(即鸟)莺	Rare
 
PASSERIFORMES: Icteridae

Yellow-headed Blackbird	Xanthocephalus xanthocephalus	黄头黑鹂	
Bobolink	Dolichonyx oryzivorus	刺歌雀	
Western Meadowlark	Sturnella neglecta	西草地鹨	
Scott's Oriole	Icterus parisorum	斯氏拟鹂	Rare
Bullock's Oriole	Icterus bullockii	布氏拟鹂	
Baltimore Oriole	Icterus galbula	橙腹拟鹂	Rare
Hooded Oriole	Icterus cucullatus	巾冠拟鹂	
Orchard Oriole	Icterus spurius	圃拟鹂	Rare
Tricolored Blackbird	Agelaius tricolor	三色黑鹂	
