Tetraogallus altaicus,0,
Tetraogallus caspius,0,
Tetraogallus caucasicus,0,
Tetraogallus himalayensis,1,6个亚种;-----------------------------------------------------;2018-5-26 北京动物园(koslowi);
Tetraogallus tibetanus,0,
Ammoperdix griseogularis,0,
Ammoperdix heyi,0,
Synoicus adansonii,0,
Synoicus chinensis,1,8个亚种;-----------------------------------------------------;2022-1-18 海南儋州(chinensis)
Synoicus monorthonyx,0,
Synoicus ypsilophorus,0,
Margaroperdix madagarensis,0,
Coturnix coromandelica,0,
Coturnix coturnix,0,
Coturnix delegorguei,0,
Coturnix japonica,1,单型种(全);-----------------------------------------------------;2020-11-10 厦门翔安七星礁
Coturnix novaezelandiae,0,
Coturnix pectoralis,0,
Alectoris barbara,0,
Alectoris chukar,1,14个亚种;-----------------------------------------------------;2018-5-26 北京动物园
Alectoris graeca,0,
Alectoris magna,0,
Alectoris melanocephala,0,
Alectoris philbyi,1,单型种(全);-----------------------------------------------------;2023-1-12 阿联酋沙迦野生动物中心
Alectoris rufa,0,
Perdicula argoondah,0,
Perdicula asiatica,0,
Perdicula erythrorhyncha,0,
Perdicula manipurensis,0,
Ophrysia superciliosa,0,
Pternistis adspersus,0,
Pternistis afer,0,
Pternistis ahantensis,0,
Pternistis atrifrons,0,
Pternistis bicalcaratus,0,
Pternistis camerunensis,0,
Pternistis capensis,0,
Pternistis castaneicollis,0,
Pternistis clappertoni,0,
Pternistis erckelii,0,
Pternistis griseostriatus,0,
Pternistis hartlaubi,0,
Pternistis harwoodi,0,
Pternistis hildebrandti,0,
Pternistis icterorhynchus,0,
Pternistis jacksoni,0,
Pternistis leucoscepus,0,
Pternistis natalensis,0,
Pternistis nobilis,0,
Pternistis ochropectus,0,
Pternistis rufopictus,0,
Pternistis squamatus,0,
Pternistis swainsonii,0,
Pternistis swierstrai,0,
Eurostopodus archboldi,0,
Eurostopodus argus,0,
Eurostopodus diabolicus,0,
Eurostopodus exul,0,
Eurostopodus mystacalis,0,
Eurostopodus nigripennis,0,
Eurostopodus papuensis,0,
Lyncornis macrotis,0,
Lyncornis temminckii,0,
Gactornis enarratus,0,
Chordeiles acutipennis,2,3-25 Cerro Lodge 21.64%;3-25 Tarcoles--Tour en Bote 23.84%
Chordeiles gundlachii,0,
Chordeiles minor,1,9个亚种;-----------------------------------------------------;2022-7-6 多伦多High park(minor)
Chordeiles nacunda,0,
Chordeiles pusillus,0,
Chordeiles rupestris,0,
Lurocalis rufiventris,0,
