137	0361	长嘴半蹼鹬	Limnodromus	scolopaceus	Long-billed	Dowitcher	LC	-	C
138	0362	丘鹬	Scolopax	rusticola	Eurasian	Woodcock	LC	-	B
139	0367	针尾沙锥	Gallinago	stenura	Pin-tailed	Snipe	LC	-	B
140	0368	大沙锥	Gallinago	megala	Swinhoe's	Snipe	LC	-	B
141	0369	扇尾沙锥	Gallinago	gallinago	Common	Snipe	LC	-	A
142	0370	翘嘴鹬	Xenus	cinereus	Terek	Sandpiper	LC	-	A
143	0371	红颈瓣蹼鹬	Phalaropus	lobatus	Red-necked	Phalarope	LC	-	A
144	0372	灰瓣蹼鹬	Phalaropus	fulicarius	Red	Phalarope	LC	-	C
145	0373	矶鹬	Actitis	hypoleucos	Common	Sandpiper	LC	-	A
146	0374	白腰草鹬	Tringa	ochropus	Green	Sandpiper	LC	-	A
147	0376	灰尾漂鹬	Tringa	brevipes	Grey-tailed	Tattler	NT	-	A
148	0378	红脚鹬	Tringa	totanus	Common	Redshank	LC	-	A
149	0379	泽鹬	Tringa	stagnatilis	Marsh	Sandpiper	LC	-	A
150	0380	林鹬	Tringa	glareola	Wood	Sandpiper	LC	-	A
151	0381	鹤鹬	Tringa	erythropus	Spotted	Redshank	LC	-	A
152	0382	青脚鹬	Tringa	nebularia	Common	Greenshank	LC	-	A
153	0383	小青脚鹬	Tringa	guttifer	Nordmann's	Greenshank	EN	一级	C
鸻形目	燕鸻科	CHARADRIIFORMES	Glareolidae
154	0385	普通燕鸻	Glareola	maldivarum	Oriental	Pratincole	LC	-	B
鸻形目	鸥科	CHARADRIIFORMES	Laridae
155	0391	三趾鸥	Rissa	tridactyla	Black-legged	Kittiwake	VU	-	C
156	0396	红嘴鸥	Chroicocephalus	ridibundus	Black-headed	Gull	LC	-	A
157	0397	黑嘴鸥	Chroicocephalus	saundersi	Saunders's	Gull	VU	一级	B
158	0402	遗鸥	Ichthyaetus	relictus	Relict	Gull	VU	一级	C
159	0403	渔鸥	Ichthyaetus	ichthyaetus	Pallas's	Gull	LC	-	C
160	0404	黑尾鸥	Larus	crassirostris	Black-tailed	Gull	LC	-	B
普通海鸥	C
161	0410	西伯利亚银鸥	Larus	vegae	Vega	Gull	LC	-	A
162	0413	小黑背鸥	Larus	fuscus	Lesser	Black-backed	Gull	LC	-	B
163	0414	鸥嘴噪鸥	Gelochelidon	nilotica	Gull-billed	Tern	LC	-	A
164	0415	红嘴巨燕鸥	Hydroprogne	caspia	Caspian	Tern	LC	-	A
165	0416	大凤头燕鸥	Thalasseus	bergii	Greater	Crested	Tern	LC	二级	B
166	0420	白额燕鸥	Sternula	albifrons	Little	Tern	LC	-	A
167	0422	褐翅燕鸥	Onychoprion	anaethetus	Bridled	Tern	LC	-	C
168	0425	粉红燕鸥	Sterna	dougallii	Roseate	Tern	LC	-	B
