
 
APTERYGIFORMES: Apterygidae

Eastern Rosella	Platycercus eximius	澳东玫瑰鹦鹉	外来物种
Chatham Parakeet	Cyanoramphus forbesi	查岛鹦鹉	Endemic
Antipodes Parakeet	Cyanoramphus unicolor	纯绿鹦鹉	Endemic
Yellow-crowned Parakeet	Cyanoramphus auriceps	黄额鹦鹉	Endemic
Malherbe's Parakeet	Cyanoramphus malherbi	橙额鹦鹉	Endemic
Red-crowned Parakeet	Cyanoramphus novaezelandiae	红额鹦鹉	Endemic
Reischek's Parakeet	Cyanoramphus hochstetteri	安岛红额鹦鹉	Endemic
 
PASSERIFORMES: Acanthisittidae

Rifleman	Acanthisitta chloris	刺鹩	Endemic
Bushwren	Xenicus longipes	丛异鹩	Endemic
New Zealand Rockwren	Xenicus gilviventris	岩异鹩	Endemic
Lyall's Wren	Traversia lyalli	斯蒂芬岛异鹩	Endemic
 
PASSERIFORMES: Meliphagidae

Tui	Prosthemadera novaeseelandiae	簇胸吸蜜鸟	Endemic
New Zealand Bellbird	Anthornis melanura	新西兰吸蜜鸟	Endemic
Chatham Bellbird	Anthornis melanocephala	查塔姆吸蜜鸟	Endemic
Red Wattlebird	Anthochaera carunculata	红垂蜜鸟	Rare
 
PASSERIFORMES: Acanthizidae

Grey Gerygone	Gerygone igata	灰噪刺莺	Endemic
Chatham Gerygone	Gerygone albofrontata	查岛噪刺莺	Endemic
 
PASSERIFORMES: Callaeidae

North Island Kokako	Callaeas wilsoni	北岛垂耳鸦	Endemic
South Island Kokako	Callaeas cinereus	垂耳鸦	Endemic
North Island Saddleback	Philesturnus rufusater	北岛鞍背鸦	Endemic
South Island Saddleback	Philesturnus carunculatus	鞍背鸦	Endemic
Huia	Heteralocha acutirostris	兼嘴垂耳鸦	Endemic
 
PASSERIFORMES: Notiomystidae

Stitchbird	Notiomystis cincta	缝叶吸蜜鸟	Endemic
 
PASSERIFORMES: Artamidae

Masked Woodswallow	Artamus personatus	黑眼燕鵙	Rare
White-browed Woodswallow	Artamus superciliosus	白眉燕鵙	Rare
Dusky Woodswallow	Artamus cyanopterus	暗燕鵙	Rare
Australian Magpie	Gymnorhina tibicen	黑背钟鹊	外来物种
 
PASSERIFORMES: Campephagidae

Black-faced Cuckooshrike	Coracina novaehollandiae	黑脸鹃鵙	Rare
White-winged Triller	Lalage tricolor	白翅鸣鹃鵙	Rare
 
PASSERIFORMES: Mohouidae

Yellowhead	Mohoua ochrocephala	黄头刺莺	Endemic
Whitehead	Mohoua albicilla	白头刺莺	Endemic
Pipipi	Mohoua novaeseelandiae	新西兰刺莺	Endemic
 
PASSERIFORMES: Oriolidae

North Island Piopio	Turnagra tanagra	北岛鸫鹟	Endemic
South Island Piopio	Turnagra capensis	纽西兰鸫鹟	Endemic
 
PASSERIFORMES: Rhipiduridae

Willie Wagtail	Rhipidura leucophrys	黑白扇尾鹟	Rare
New Zealand Fantail	Rhipidura fuliginosa	灰扇尾鹟	Endemic
 
PASSERIFORMES: Monarchidae

Black-faced Monarch	Monarcha melanopsis	黑脸王鹟	Rare
Magpie-lark	Grallina cyanoleuca	鹊鹩	Rare
Satin Flycatcher	Myiagra cyanoleuca	缎辉阔嘴鹟	Rare
 
PASSERIFORMES: Corvidae

Rook	Corvus frugilegus	秃鼻乌鸦	外来物种
 
PASSERIFORMES: Petroicidae

Tomtit	Petroica macrocephala	雀鸲鹟	Endemic
North Island Robin	Petroica longipes	北岛鸲鹟	Endemic
South Island Robin	Petroica australis	新西兰鸲鹟	Endemic
Black Robin	Petroica traversi	查岛鸲鹟	Endemic
 
PASSERIFORMES: Alaudidae

Eurasian Skylark	Alauda arvensis	云雀	外来物种
 
PASSERIFORMES: Hirundinidae

Welcome Swallow	Hirundo neoxena	迎燕	
Fairy Martin	Petrochelidon ariel	彩石燕	Rare
Tree Martin	Petrochelidon nigricans	树燕	Rare
 
PASSERIFORMES: Acrocephalidae

Australian Reed Warbler	Acrocephalus australis	澳洲苇莺	Rare
 
PASSERIFORMES: Locustellidae

Chatham Fernbird	Poodytes rufescens	查塔姆蕨莺	Endemic
New Zealand Fernbird	Poodytes punctatus	新西兰大尾莺	Endemic
 
PASSERIFORMES: Zosteropidae

Silvereye	Zosterops lateralis	灰胸绣眼鸟	
 
PASSERIFORMES: Sturnidae

Common Myna	Acridotheres tristis	家八哥	外来物种
Common Starling	Sturnus vulgaris	紫翅椋鸟	外来物种
 
PASSERIFORMES: Turdidae

Common Blackbird	Turdus merula	乌鸫	外来物种
Song Thrush	Turdus philomelos	欧歌鸫	外来物种
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	家麻雀	外来物种
 
PASSERIFORMES: Prunellidae

Dunnock	Prunella modularis	林岩鹨	外来物种
 
PASSERIFORMES: Motacillidae

New Zealand Pipit	Anthus novaeseelandiae	澳洲鹨	Endemic
 
PASSERIFORMES: Fringillidae

Common Chaffinch	Fringilla coelebs	苍头燕雀	外来物种
European Greenfinch	Chloris chloris	欧金翅雀	外来物种
Common Redpoll	Acanthis flammea	白腰朱顶雀	外来物种
Lesser Redpoll	Acanthis cabaret	小朱顶雀	外来物种
European Goldfinch	Carduelis carduelis	红额金翅雀	外来物种
