中文名	拉丁名	英文名	记录次数	定点记	随手记
黑喉山雀	Poecile hypermelaenus	Black-bibbed Tit	1	1	0
棕扇尾莺	Cisticola juncidis	Zitting Cisticola	9	9	0
金头扇尾莺	Cisticola exilis	Golden-headed Cisticola	2	2	0
白喉山鹪莺	Prinia superciliaris	Hill Prinia	5	5	0
黄腹山鹪莺	Prinia flaviventris	Yellow-bellied Prinia	62	58	0
金腰燕	Cecropis daurica	Red-rumped Swallow	31	29	1
领雀嘴鹎	Spizixos semitorques	Collared Finchbill	4	4	0
红耳鹎	Pycnonotus jocosus	Red-whiskered Bulbul	56	52	2
白头鹎	Pycnonotus sinensis	Light-vented Bulbul	115	100	3
黑喉红臀鹎	Pycnonotus cafer	Red-vented Bulbul	4	3	1
白喉红臀鹎	Pycnonotus aurigaster	Sooty-headed Bulbul	48	43	1
黄腹冠鹎	Alophoixus flaveolus	White-throated Bulbul	1	1	0
白喉冠鹎	Alophoixus pallidus	Puff-throated Bulbul	1	1	0
灰眼短脚鹎	Iole propinqua	Grey-eyed Bulbul	1	1	0
绿翅短脚鹎	Ixos mcclellandii	Mountain Bulbul	14	14	0
灰脸鹟莺	Phylloscopus poliogenys	Grey-cheeked Warbler	1	1	0
栗背短脚鹎	Hemixos castanonotus	Chestnut Bulbul	18	18	0
黑短脚鹎	Hypsipetes leucocephalus	Black Bulbul	27	26	1
栗耳短脚鹎	Hypsipetes amaurotis	Brown-eared Bulbul	4	4	0
灰喉柳莺	Phylloscopus maculipennis	Ashy-throated Warbler	3	2	1
黄眉柳莺	Phylloscopus inornatus	Yellow-browed Warbler	22	22	0
淡黄腰柳莺	Phylloscopus chloronotus	Lemon-rumped Warbler	1	1	0
黄腰柳莺	Phylloscopus proregulus	Pallas's Leaf Warbler	10	10	0
褐柳莺	Phylloscopus fuscatus	Dusky Warbler	39	39	0
冕柳莺	Phylloscopus coronatus	Eastern Crowned Warbler	3	3	0
双斑绿柳莺	Phylloscopus plumbeitarsus	Two-barred Warbler	2	2	0
淡脚柳莺	Phylloscopus tenellipes	Pale-legged Leaf Warbler	1	1	0
极北柳莺	Phylloscopus borealis	Arctic Warbler	3	3	0
栗头鹟莺	Phylloscopus castaniceps	Chestnut-crowned Warbler	2	2	0
黑脸鹟莺	Abroscopus schisticeps	Black-faced Warbler	1	1	0
白眶鹟莺	Phylloscopus intermedius	White-spectacled Warbler	1	1	0
华南冠纹柳莺	Phylloscopus goodsoni	Hartert's Leaf Warbler	2	2	0
海南柳莺	Phylloscopus hainanus	Hainan Leaf Warbler	2	1	0
灰头柳莺	Phylloscopus xanthoschistos	Grey-hooded Warbler	1	1	0
栗头织叶莺	Phyllergates cucullatus	Mountain Tailorbird	1	1	0
强脚树莺	Horornis fortipes	Brown-flanked Bush Warbler	9	9	0
棕脸鹟莺	Abroscopus albogularis	Rufous-faced Warbler	4	4	0
金冠地莺	Tesia olivea	Slaty-bellied Tesia	1	1	0
鳞头树莺	Urosphena squameiceps	Asian Stubtail	1	1	0
北长尾山雀	Aegithalos caudatus	Long-tailed Tit	5	5	0
银喉长尾山雀	Aegithalos glaucogularis	Silver-throated Bushtit	7	7	0
红头长尾山雀	Aegithalos concinnus	Black-throated Bushtit	20	19	1
棕额长尾山雀	Aegithalos iouschistos	Rufous-fronted Bushtit	2	2	0
黑眉长尾山雀	Aegithalos bonvaloti	Black-browed Bushtit	2	2	0
