154	秃鹳	Leptoptilos javanicus	Lesser Adjutant	鹳形目	鹳科
155	黑头白鹮	Threskiornis melanocephalus	Black-headed Ibis	鹈形目	鹮科
156	白肩黑鹮	Pseudibis davisoni	White-shouldered Ibis	鹈形目	鹮科
157	朱鹮	Nipponia nippon	Crested Ibis	鹈形目	鹮科
158	彩鹮	Plegadis falcinellus	Glossy Ibis	鹈形目	鹮科
159	白琵鹭	Platalea leucorodia	Eurasian Spoonbill	鹈形目	鹮科
160	黑脸琵鹭	Platalea minor	Black-faced Spoonbill	鹈形目	鹮科
161	大麻鳽	Botaurus stellaris	Great Bittern	鹈形目	鹭科
162	小苇鳽	Ixobrychus minutus	Little Bittern	鹈形目	鹭科
163	黄苇鳽	Ixobrychus sinensis	Yellow Bittern	鹈形目	鹭科
164	紫背苇鳽	Ixobrychus eurhythmus	Von Schrenck's Bittern	鹈形目	鹭科
165	栗苇鳽	Ixobrychus cinnamomeus	Cinnamon Bittern	鹈形目	鹭科
166	黑鳽	Dupetor flavicollis	Black Bittern	鹈形目	鹭科
167	海南鳽	Gorsachius magnificus	White-eared Night Heron	鹈形目	鹭科
168	栗鳽	Gorsachius goisagi	Japanese Night Heron	鹈形目	鹭科
169	黑冠鳽	Gorsachius melanolophus	Malayan Night Heron	鹈形目	鹭科
170	夜鹭	Nycticorax nycticorax	Black-crowned Night Heron	鹈形目	鹭科
819	淡脚树莺	Urosphena  pallidipes	Pale-footed Bush Warbler	雀形目	树莺科
171	棕夜鹭	Nycticorax caledonicus	Nankeen Night Heron	鹈形目	鹭科
172	绿鹭	Butorides striata	Striated Heron	鹈形目	鹭科
173	池鹭	Ardeola bacchus	Chinese Pond Heron	鹈形目	鹭科
174	爪哇池鹭	Ardeola speciosa	Javan Pond Heron	鹈形目	鹭科
175	牛背鹭	Bubulcus coromandus	Eastern Cattle Egret	鹈形目	鹭科
176	苍鹭	Ardea cinerea	Grey Heron	鹈形目	鹭科
177	白腹鹭	Ardea insignis	White-bellied Heron	鹈形目	鹭科
178	草鹭	Ardea purpurea	Purple Heron	鹈形目	鹭科
179	大白鹭	Ardea alba	Great Egret	鹈形目	鹭科
180	中白鹭	Egretta intermedia	Intermediate Egret	鹈形目	鹭科
181	斑鹭	Egretta picata	Pied Heron	鹈形目	鹭科
182	白脸鹭	Egretta novaehollandiae	White-faced Heron	鹈形目	鹭科
183	白鹭	Egretta garzetta	Little Egret	鹈形目	鹭科
184	岩鹭	Egretta sacra	Pacific Reef Heron	鹈形目	鹭科
185	黄嘴白鹭	Egretta eulophotes	Chinese Egret	鹈形目	鹭科
186	白鹈鹕	Pelecanus onocrotalus	Great White Pelican	鹈形目	鹈鹕科
187	斑嘴鹈鹕	Pelecanus philippensis	Spot-billed Pelican	鹈形目	鹈鹕科
188	卷羽鹈鹕	Pelecanus crispus	Dalmatian Pelican	鹈形目	鹈鹕科
189	白腹军舰鸟	Fregata andrewsi	Christmas Island Frigatebird	鲣鸟目	军舰鸟科
190	大军舰鸟	Fregata minor	Great Frigatebird	鲣鸟目	军舰鸟科
191	白斑军舰鸟	Fregata ariel	Lesser Frigatebird	鲣鸟目	军舰鸟科
192	蓝脸鲣鸟	Sula dactylatra	Masked Booby	鲣鸟目	鲣鸟科
193	红脚鲣鸟	Sula sula	Red-footed Booby	鲣鸟目	鲣鸟科
194	褐鲣鸟	Sula leucogaster	Brown Booby	鲣鸟目	鲣鸟科
195	黑颈鸬鹚	Microcarbo niger	Little Cormorant	鲣鸟目	鸬鹚科
196	海鸬鹚	Phalacrocorax pelagicus	Pelagic Cormorant	鲣鸟目	鸬鹚科
197	红脸鸬鹚	Phalacrocorax urile	Red-faced Cormorant	鲣鸟目	鸬鹚科
198	普通鸬鹚	Phalacrocorax carbo	Great Cormorant	鲣鸟目	鸬鹚科
199	暗绿背鸬鹚	Phalacrocorax capillatus	Japanese Cormorant	鲣鸟目	鸬鹚科
200	鹗	Pandion haliaetus	Western Osprey	鹰形目	鹗科
201	黑翅鸢	Elanus caeruleus	Black-winged Kite	鹰形目	鹰科
202	胡兀鹫	Gypaetus barbatus	Lammergeier	鹰形目	鹰科
203	白兀鹫	Neophron percnopterus	Egyptian Vulture	鹰形目	鹰科
204	凤头蜂鹰	Pernis ptilorhynchus	Crested Honey-buzzard	鹰形目	鹰科
205	褐冠鹃隼	Aviceda jerdoni	Jerdon's Baza	鹰形目	鹰科
206	黑冠鹃隼	Aviceda leuphotes	Black Baza	鹰形目	鹰科
207	白背兀鹫	Gyps bengalensis	White-rumped Vulture	鹰形目	鹰科
208	高山兀鹫	Gyps himalayensis	Himalayan Vulture	鹰形目	鹰科
209	黑兀鹫	Sarcogyps calvus	Red-headed Vulture	鹰形目	鹰科
210	秃鹫	Aegypius monachus	Cinereous Vulture	鹰形目	鹰科
211	蛇雕	Spilornis cheela	Crested Serpent Eagle	鹰形目	鹰科
212	短趾雕	Circaetus gallicus	Short-toed Snake Eagle	鹰形目	鹰科
213	凤头鹰雕	Nisaetus cirrhatus	Changeable Hawk-Eagle	鹰形目	鹰科
214	鹰雕	Nisaetus nipalensis	Mountain Hawk-Eagle	鹰形目	鹰科
239	玉带海雕	Haliaeetus leucoryphus	Pallas's Fish Eagle	鹰形目	鹰科
215	棕腹隼雕	Lophotriorchis kienerii	Rufous-bellied Hawk-Eagle	鹰形目	鹰科
216	林雕	Ictinaetus malaiensis	Black Eagle	鹰形目	鹰科
217	乌雕	Clanga clanga	Greater Spotted Eagle	鹰形目	鹰科
218	靴隼雕	Hieraaetus pennatus	Booted Eagle	鹰形目	鹰科
219	草原雕	Aquila nipalensis	Steppe Eagle	鹰形目	鹰科
220	白肩雕	Aquila heliaca	Eastern Imperial Eagle	鹰形目	鹰科
221	金雕	Aquila chrysaetos	Golden Eagle	鹰形目	鹰科
288	白鹤	Grus leucogeranus	Siberian Crane	鹤形目	鹤科
222	白腹隼雕	Aquila fasciata	Bonelli's Eagle	鹰形目	鹰科
223	凤头鹰	Accipiter trivirgatus	Crested Goshawk	鹰形目	鹰科
224	褐耳鹰	Accipiter badius	Shikra	鹰形目	鹰科
225	赤腹鹰	Accipiter soloensis	Chinese Sparrowhawk	鹰形目	鹰科
226	日本松雀鹰	Accipiter gularis	Japanese Sparrowhawk	鹰形目	鹰科
227	松雀鹰	Accipiter virgatus	Besra	鹰形目	鹰科
228	雀鹰	Accipiter nisus	Eurasian Sparrowhawk	鹰形目	鹰科
238	白腹海雕	Haliaeetus leucogaster	White-bellied Sea Eagle	鹰形目	鹰科
229	苍鹰	Accipiter gentilis	Northern Goshawk	鹰形目	鹰科
230	白头鹞	Circus aeruginosus	Western Marsh Harrier	鹰形目	鹰科
231	白腹鹞	Circus spilonotus	Eastern Marsh Harrier	鹰形目	鹰科
232	白尾鹞	Circus cyaneus	Hen Harrier	鹰形目	鹰科
233	草原鹞	Circus macrourus	Pallid Harrier	鹰形目	鹰科
234	鹊鹞	Circus melanoleucos	Pied Harrier	鹰形目	鹰科
235	乌灰鹞	Circus pygargus	Montagu's Harrier	鹰形目	鹰科
236	黑鸢	Milvus migrans	Black Kite	鹰形目	鹰科
237	栗鸢	Haliastur indus	Brahminy Kite	鹰形目	鹰科
240	白尾海雕	Haliaeetus albicilla	White-tailed Sea Eagle	鹰形目	鹰科
241	虎头海雕	Haliaeetus pelagicus	Steller's Sea Eagle	鹰形目	鹰科
242	渔雕	Haliaeetus humilis	Lesser Fish Eagle	鹰形目	鹰科
243	白眼鵟鹰	Butastur teesa	White-eyed Buzzard	鹰形目	鹰科
244	棕翅鵟鹰	Butastur liventer	Rufous-winged Buzzard	鹰形目	鹰科
245	灰脸鵟鹰	Butastur indicus	Grey-faced Buzzard	鹰形目	鹰科
246	毛脚鵟	Buteo lagopus	Rough-legged Buzzard	鹰形目	鹰科
247	大鵟	Buteo hemilasius	Upland Buzzard	鹰形目	鹰科
248	普通鵟	Buteo japonicus	Eastern Buzzard	鹰形目	鹰科
249	喜山鵟	Buteo burmanicus	Himalayan Buzzard	鹰形目	鹰科
250	棕尾鵟	Buteo rufinus	Long-legged Buzzard	鹰形目	鹰科
251	欧亚鵟	Buteo buteo	Common Buzzard	鹰形目	鹰科
252	红腿小隼	Microhierax caerulescens	Collared Falconet	隼形目	隼科
253	白腿小隼	Microhierax melanoleucos	Pied Falconet	隼形目	隼科
254	黄爪隼	Falco naumanni	Lesser Kestrel	隼形目	隼科
268	花田鸡	Coturnicops exquisitus	Swinhoe's Rail	鹤形目	秧鸡科
255	红隼	Falco tinnunculus	Common Kestrel	隼形目	隼科
256	西红脚隼	Falco vespertinus	Red-footed Falcon	隼形目	隼科
257	红脚隼	Falco amurensis	Amur Falcon	隼形目	隼科
258	灰背隼	Falco columbarius	Merlin	隼形目	隼科
259	燕隼	Falco subbuteo	Eurasian Hobby	隼形目	隼科
260	猛隼	Falco severus	Oriental Hobby	隼形目	隼科
269	红腿斑秧鸡	Rallina fasciata	Red-legged Crake	鹤形目	秧鸡科
261	猎隼	Falco cherrug	Saker Falcon	隼形目	隼科
262	矛隼	Falco rusticolus	Gyrfalcon	隼形目	隼科
263	游隼	Falco peregrinus	Peregrine Falcon	隼形目	隼科
264	拟游隼	Falco pelegrinoides	Barbary Falcon	隼形目	隼科
265	大鸨	Otis tarda	Great Bustard	鸨形目	鸨科
266	波斑鸨	Chlamydotis macqueenii	Macqueen's Bustard	鸨形目	鸨科
267	小鸨	Tetrax tetrax	Little Bustard	鸨形目	鸨科
270	白喉斑秧鸡	Rallina eurizonoides	Slaty-legged Crake	鹤形目	秧鸡科
271	蓝胸秧鸡	Gallirallus striatus	Slaty-breasted Rail	鹤形目	秧鸡科
272	西方秧鸡	Rallus aquaticus	Water Rail	鹤形目	秧鸡科
273	普通秧鸡	Rallus indicus	Brown-cheeked Rail	鹤形目	秧鸡科
274	长脚秧鸡	Crex crex	Corn Crake	鹤形目	秧鸡科
275	红脚苦恶鸟	Amaurornis akool	Brown Crake	鹤形目	秧鸡科
276	白胸苦恶鸟	Amaurornis phoenicurus	White-breasted Waterhen	鹤形目	秧鸡科
277	棕背田鸡	Porzana bicolor	Black-tailed Crake	鹤形目	秧鸡科
278	姬田鸡	Porzana parva	Little Crake	鹤形目	秧鸡科
279	小田鸡	Porzana pusilla	Baillon's Crake	鹤形目	秧鸡科
280	斑胸田鸡	Porzana porzana	Spotted Crake	鹤形目	秧鸡科
281	红胸田鸡	Porzana fusca	Ruddy-breasted Crake	鹤形目	秧鸡科
282	斑胁田鸡	Porzana paykullii	Band-bellied Crake	鹤形目	秧鸡科
283	白眉田鸡	Porzana cinerea	White-browed Crake	鹤形目	秧鸡科
284	董鸡	Gallicrex cinerea	Watercock	鹤形目	秧鸡科
285	紫水鸡	Porphyrio porphyrio	Purple Swamphen	鹤形目	秧鸡科
286	黑水鸡	Gallinula chloropus	Common Moorhen	鹤形目	秧鸡科
287	骨顶鸡	Fulica atra	Eurasian Coot	鹤形目	秧鸡科
289	沙丘鹤	Grus canadensis	Sandhill Crane	鹤形目	鹤科
290	白枕鹤	Grus vipio	White-naped Crane	鹤形目	鹤科
291	赤颈鹤	Grus antigone	Sarus Crane	鹤形目	鹤科
292	蓑羽鹤	Grus virgo	Demoiselle Crane	鹤形目	鹤科
293	丹顶鹤	Grus japonensis	Red-crowned Crane	鹤形目	鹤科
294	灰鹤	Grus grus	Common Crane	鹤形目	鹤科
295	白头鹤	Grus monacha	Hooded Crane	鹤形目	鹤科
296	黑颈鹤	Grus nigricollis	Black-necked Crane	鹤形目	鹤科
297	林三趾鹑	Turnix sylvaticus	Common Buttonquail	鸻形目	三趾鹑科
298	黄脚三趾鹑	Turnix tanki	Yellow-legged Buttonquail	鸻形目	三趾鹑科
299	棕三趾鹑	Turnix suscitator	Barred Buttonquail	鸻形目	三趾鹑科
300	欧石鸻	Burhinus oedicnemus	Eurasian Thick-knee	鸻形目	石鸻科
301	大石鸻	Esacus recurvirostris	Great Thick-knee	鸻形目	石鸻科
302	蛎鹬	Haematopus ostralegus	Eurasian Oystercatcher	鸻形目	蛎鹬科
303	鹮嘴鹬	Ibidorhyncha struthersii	Ibisbill	鸻形目	鹮嘴鹬科
304	黑翅长脚鹬	Himantopus himantopus	Black-winged Stilt	鸻形目	反嘴鹬科
305	反嘴鹬	Recurvirostra avosetta	Pied Avocet	鸻形目	反嘴鹬科
316	剑鸻	Charadrius hiaticula	Common Ringed Plover	鸻形目	鸻科
306	凤头麦鸡	Vanellus vanellus	Northern Lapwing	鸻形目	鸻科
307	距翅麦鸡	Vanellus duvaucelii	River Lapwing	鸻形目	鸻科
308	灰头麦鸡	Vanellus cinereus	Grey-headed Lapwing	鸻形目	鸻科
309	肉垂麦鸡	Vanellus indicus	Red-wattled Lapwing	鸻形目	鸻科
