鸟种编号	中文名	拉丁名	英文名	目	科	定点记	随手记
4517	乌雕	Clanga clanga	Greater Spotted Eagle	鹰形目	鹰科	2	0
4519	草原雕	Aquila nipalensis	Steppe Eagle	鹰形目	鹰科	0	1
4520	白肩雕	Aquila heliaca	Imperial Eagle	鹰形目	鹰科	3	0
4521	金雕	Aquila chrysaetos	Golden Eagle	鹰形目	鹰科	3	1
4522	白腹隼雕	Aquila fasciata	Bonelli's Eagle	鹰形目	鹰科	1	0
4523	凤头鹰	Accipiter trivirgatus	Crested Goshawk	鹰形目	鹰科	12	0
4524	褐耳鹰	Accipiter badius	Shikra	鹰形目	鹰科	3	0
4525	赤腹鹰	Accipiter soloensis	Chinese Goshawk	鹰形目	鹰科	3	0
4526	日本松雀鹰	Accipiter gularis	Japanese Sparrow Hawk	鹰形目	鹰科	4	0
4527	松雀鹰	Accipiter virgatus	Besra	鹰形目	鹰科	9	0
4528	雀鹰	Accipiter nisus	Eurasian Sparrow Hawk	鹰形目	鹰科	7	0
4529	苍鹰	Accipiter gentilis	Northern Goshawk	鹰形目	鹰科	2	0
4531	白腹鹞	Circus spilonotus	Eastern Marsh Harrier	鹰形目	鹰科	7	1
4532	白尾鹞	Circus cyaneus	Hen Harrier	鹰形目	鹰科	3	0
4534	鹊鹞	Circus melanoleucos	Pied Harrier	鹰形目	鹰科	6	0
4536	黑鸢	Milvus migrans	Black Kite	鹰形目	鹰科	50	1
4537	栗鸢	Haliastur indus	Brahminy Kite	鹰形目	鹰科	1	0
