Struthio molybdophanes	Somali Ostrich
Tauraco violaceus	Violet Turaco
Tauraco rossae	Ross's Turaco
Tauraco macrorhynchus	Yellow-billed Turaco
Tauraco bannermani	Bannerman's Turaco
Tauraco leucolophus	White-crested Turaco
Tauraco schuettii	Black-billed Turaco
Tauraco schalowi	Schalow's Turaco
Tauraco erythrolophus	Red-crested Turaco
Tauraco persa	Guinea Turaco
Tauraco hartlaubi	Hartlaub's Turaco
Tauraco fischeri	Fischer's Turaco
Tauraco livingstonii	Livingstone's Turaco
Tauraco corythaix	Knysna Turaco
Otis tarda	Great Bustard
Ardeotis arabs	Arabian Bustard
Ardeotis kori	Kori Bustard
Ardeotis nigriceps	Great Indian Bustard
Ardeotis australis	Australian Bustard
Chlamydotis macqueenii	Asian Houbara
Chlamydotis undulata	African Houbara
Neotis ludwigii	Ludwig's Bustard
Neotis denhami	Denham's Bustard
Neotis heuglinii	Heuglin's Bustard
Neotis nuba	Nubian Bustard
Eupodotis caerulescens	Blue Korhaan
Eupodotis senegalensis	White-bellied Bustard
Heterotetrax vigorsii	Karoo Korhaan
Heterotetrax rueppelii	Rüppell's Korhaan
Heterotetrax humilis	Little Brown Bustard
Lophotis savilei	Savile's Bustard
Lophotis gindiana	Buff-crested Bustard
Lophotis ruficrista	Red-crested Korhaan
Afrotis afra	Southern Black Korhaan
Afrotis afraoides	Northern Black Korhaan
Lissotis hartlaubii	Hartlaub's Bustard
Lissotis melanogaster	Black-bellied Bustard
Houbaropsis bengalensis	Bengal Florican
Sypheotides indicus	Lesser Florican
Tetrax tetrax	Little Bustard
Guira guira	Guira Cuckoo
Crotophaga major	Greater Ani
Crotophaga ani	Smooth-billed Ani
Crotophaga sulcirostris	Groove-billed Ani
Tapera naevia	Striped Cuckoo
Dromococcyx phasianellus	Pheasant Cuckoo
Dromococcyx pavoninus	Pavonine Cuckoo
Morococcyx erythropygus	Lesser Ground Cuckoo
Geococcyx californianus	Greater Roadrunner
Geococcyx velox	Lesser Roadrunner
Neomorphus geoffroyi	Rufous-vented Ground Cuckoo
Neomorphus squamiger	Scaled Ground Cuckoo
Neomorphus radiolosus	Banded Ground Cuckoo
Neomorphus rufipennis	Rufous-winged Ground Cuckoo
Neomorphus pucheranii	Red-billed Ground Cuckoo
Carpococcyx viridis	Sumatran Ground Cuckoo
Carpococcyx radiceus	Bornean Ground Cuckoo
Carpococcyx renauldi	Coral-billed Ground Cuckoo
Coua cristata	Crested Coua
Coua verreauxi	Verreaux's Coua
Coua caerulea	Blue Coua
Coua ruficeps	Red-capped Coua
Coua olivaceiceps	Olive-capped Coua
Coua reynaudii	Red-fronted Coua
Coua coquereli	Coquerel's Coua
Coua cursor	Running Coua
Coua gigas	Giant Coua
Coua delalandei	Snail-eating Coua
Coua serriana	Red-breasted Coua
Centropus milo	Buff-headed Coucal
Centropus ateralbus	White-necked Coucal
Centropus chalybeus	Biak Coucal
Centropus menbeki	Ivory-billed Coucal
Centropus unirufus	Rufous Coucal
Centropus chlororhynchos	Green-billed Coucal
Centropus melanops	Black-faced Coucal
Centropus rectunguis	Short-toed Coucal
Centropus steerii	Black-hooded Coucal
Centropus celebensis	Bay Coucal
Centropus anselli	Gabon Coucal
Centropus leucogaster	Black-throated Coucal
Centropus senegalensis	Senegal Coucal
Centropus monachus	Blue-headed Coucal
Centropus cupreicaudus	Coppery-tailed Coucal
Centropus superciliosus	White-browed Coucal
Centropus burchellii	Burchell's Coucal
Centropus nigrorufus	Sunda Coucal
Centropus andamanensis	Andaman Coucal
Centropus sinensis	Greater Coucal
Centropus goliath	Goliath Coucal
Centropus toulou	Malagasy Coucal
Centropus grillii	Black Coucal
Centropus viridis	Philippine Coucal
Centropus bengalensis	Lesser Coucal
Centropus violaceus	Violaceous Coucal
Centropus bernsteini	Black-billed Coucal
Centropus phasianinus	Pheasant Coucal
Rhinortha chlorophaea	Raffles's Malkoha
Ceuthmochares australis	Green Malkoha
Ceuthmochares aereus	Blue Malkoha
Taccocua leschenaultii	Sirkeer Malkoha
Zanclostomus javanicus	Red-billed Malkoha
