	0933#	Horornis fortipes	强脚树莺	Brownish-flanked Bush Warbler	LC	-
	0928#	Tesia cyaniventer	灰腹地莺	Grey-bellied Tesia	LC	-
	0927#	Tesia olivea	金冠地莺	Slaty-bellied Tesia	LC	-
	0926#	Cettia castaneocoronata	栗头地莺	Chestnut-headed Tesia	LC	-
	0930#	Urosphena  pallidipes	淡脚树莺	Pale-footed Bush Warbler	LC	-
	雀形目	PASSERIFORMES	长尾山雀科	Aegithalidae (2:8)		
	0873#	Aegithalos concinnus	红头长尾山雀	Black-throated Bushtit	LC	-
	雀形目	PASSERIFORMES	柳莺科	Phylloscopidae (1:51)		
	0988#	Phylloscopus inornatus	黄眉柳莺	Yellow-browed Warbler	LC	-
	0987#	Phylloscopus yunnanensis	云南柳莺	Chinese Leaf Warbler	LC	-
	-	Phylloscopus forresti	四川柳莺	Sichuan Leaf Warbler	LC	-
	0986#	Phylloscopus kansuensis	甘肃柳莺	Gansu Leaf Warbler	LC	-
	0984#	Phylloscopus proregulus	黄腰柳莺	Pallas's Leaf Warbler	LC	-
	0975#	Phylloscopus fuscatus	褐柳莺	Dusky Warbler	LC	-
	0995#	Phylloscopus coronatus	冕柳莺	Eastern Crowned Warbler	LC	-
	1004#	Phylloscopus intermedius	白眶鹟莺	White-spectacled Warbler	LC	-
	1005#	Phylloscopus poliogenys	灰脸鹟莺	Grey-cheeked Warbler	LC	-
	-	Phylloscopus tephrocephalus	灰冠鹟莺	Grey-crowned Warbler	LC	-
	-	Phylloscopus valentini	比氏鹟莺	Bianchi's Warbler	LC	-
	-	Phylloscopus soror	淡尾鹟莺	Plain-tailed Warbler	LC	-
	0992#	Phylloscopus plumbeitarsus	双斑绿柳莺	Two-barred Warbler	LC	-
	0990#	Phylloscopus borealis	极北柳莺	Arctic Warbler	LC	-
	1006#	Phylloscopus castaniceps	栗头鹟莺	Chestnut-crowned Warbler	LC	-
	-	Phylloscopus calciatilis	灰岩柳莺	Limestone Leaf Warbler	LC	-
	1001#	Phylloscopus ricketti	黑眉柳莺	Sulphur-breasted Warbler	LC	-
	1000#	Phylloscopus cantator	黄胸柳莺	Yellow-vented Warbler	LC	-
	-	Phylloscopus reguloides	西南冠纹柳莺	Blyth's Leaf Warbler	LC	-
	0997#	Phylloscopus claudiae	冠纹柳莺	Claudia's Leaf Warbler	LC	-
	-	Phylloscopus goodsoni	华南冠纹柳莺	Hartert's Leaf Warbler	LC	-
	0998#	Phylloscopus ogilviegranti	白斑尾柳莺	Kloss's Leaf Warbler	LC	-
	-	Phylloscopus intensior	云南白斑尾柳莺	Davison's Leaf Warbler	LC	-
	雀形目	PASSERIFORMES	蝗莺科	Locustellidae (3:18)		
	0943#	Locustella mandelli	高山短翅莺	Russet Bush Warbler	LC	-
	雀形目	PASSERIFORMES	扇尾莺科	Cisticolidae (3:12)		
	-	Prinia superciliaris	黑喉山鹪莺	Hill Prinia	LC	-
	0919#	Prinia rufescens	暗冕山鹪莺	Rufescent Prinia	LC	-
	0920#	Prinia hodgsonii	灰胸山鹪莺	Grey-breasted Prinia	LC	-
	0921#	Prinia flaviventris	黄腹山鹪莺	Yellow-bellied Prinia	LC	-
	0922#	Prinia inornata	纯色山鹪莺	Plain Prinia	LC	-
	0968#	Orthotomus sutorius	长尾缝叶莺	Common Tailorbird	LC	-
	0969#	Orthotomus atrogularis	黑喉缝叶莺	Dark-necked Tailorbird	LC	-
	雀形目	PASSERIFORMES	鹛科	Timaliidae (7:25)		
	1080#	Mixornis gularis	纹胸巨鹛	Striped Tit-Babbler	LC	-
	1077#	Cyanoderma chrysaeum	金头穗鹛	Golden Babbler	LC	-
